Map #, Lot #, Site Address, Current Zone, Overlay District
84, 70A, 482 BEDFORD ST, CM, VHO
84, 81, 7 HARTWELL AVE, CM, VHO
85, 17A, 1 MAGUIRE RD, CM, VHO
85, 16, 3 MAGUIRE RD, CM, VHO
85, 12, 80 WESTVIEW ST, CM, VHO
85, 15, 10 MAGUIRE RD, CM, VHO
85, 3, 85 WESTVIEW ST, RO, VHO
85, 2, 87 WESTVIEW ST, RO, VHO
85, 1, 0 WESTVIEW ST, RO, VHO
85, 5, 75 WESTVIEW ST, RO, VHO
85, 4, 81 WESTVIEW ST, RO, VHO
74, 10, 125 HARTWELL AVE, CM, VHO
74, 6A, 131 HARTWELL AVE, CM, VHO
10, 18, 956 WALTHAM ST, RO, VO
10, 19A, 952 WALTHAM ST, RO, VO
10, 17B, 945 WALTHAM ST, RO, VO
10, 20, 942 WALTHAM ST, RO, VO
10, 62, 332 CONCORD AVE, RO, VO
10, 16, 927 WALTHAM ST, RO, VO
10, 25, 338 CONCORD AVE, RO, VO
10, 24, 346 CONCORD AVE, RO, VO
10, 23, 352 CONCORD AVE, RO, VO
10, 19B, 354 CONCORD AVE, RO, VO
10, 21A, 922 WALTHAM ST, RO & CD-4, VO
10, 15, 915 WALTHAM ST, CN, VO
10, 14, 382 CONCORD AVE, RO, VO
10, 31B, 331 CONCORD AVE, RO, VO
10, 34A, 903 WALTHAM ST, CN & RO, VO
10, 31A, CONCORD AVE, RO, VO
10, 31C, CONCORD AVE, RO, VO
13, 1, 12 MASSACHUSETTS AVE, CN, VO
13, 2, 16 MASSACHUSETTS AVE, CN, VO
13, 10, 32 MASSACHUSETTS AVE, CN, VO
13, 11, 38-40 MASSACHUSETTS AVE, CN, VO
13, 12A, 46 MASSACHUSETTS AVE, CN, VO
13, 39, 62 MASSACHUSETTS AVE, CN, VO
13, 40, 98-100 MASSACHUSETTS AVE, RT, VO
13, 93, 104 MASSACHUSETTS AVE, RT, VO
13, 94, 120 MASSACHUSETTS AVE, RT, VO
13, 95, 134-136 MASSACHUSETTS AVE, RT, VO
13, 96, 142 MASSACHUSETTS AVE, RT, VO
13, 97, 158-160 MASSACHUSETTS AVE, RT, VO
13, 98, 166 MASSACHUSETTS AVE, RT & RS, VO
13, 99, 172 MASSACHUSETTS AVE, RS, VO
13, 416, 11 MASSACHUSETTS AVE, CRS, VO
13, 100A, 4 CHARLES ST, RS, VO
13, 415B, 27 MASSACHUSETTS AVE, CRS, VO
13, 412, 109 MASSACHUSETTS AVE, CRS, VO
13, 319, 7 BOWKER ST, RS, VO
13, 414, 55 MASSACHUSETTS AVE, CRS, VO
13, 413, 93 MASSACHUSETTS AVE, CRS, VO
13, 275, 198 MASSACHUSETTS AVE, RS, VO
13, 318A, 11 BOWKER ST, RS, VO
13, 381, 121 MASSACHUSETTS AVE, CRS, VO
13, 327A, 18 LISBETH ST, RS, VO
13, 411, 3 BOW ST, CRS, VO
13, 328, 15 CLELLAND RD, RS, VO
13, 276, 214 MASSACHUSETTS AVE, RS, VO
13, 320, 3 BOWKER ST, RS, VO
13, 380A, 131 MASSACHUSETTS AVE, CRS, VO
13, 277, 220 MASSACHUSETTS AVE, RS, VO
13, 379A, 135 MASSACHUSETTS AVE, CRS, VO
13, 326, 14 LISBETH ST, RS, VO
13, 329, 17 CLELLAND RD, RS, VO
13, 325, 10 LISBETH ST, RS, VO
13, 321, 250 MASSACHUSETTS AVE, RS, VO
13, 335, 9-11 LISBETH ST, RS, VO
13, 322, 262 MASSACHUSETTS AVE, RS, VO
13, 331A, 19 CLELLAND RD, RS, VO
13, 323, 280 MASSACHUSETTS AVE, RS, VO
13, 324, 282 MASSACHUSETTS AVE, RS, VO
13, 377A, 165 MASSACHUSETTS AVE, CRS, VO
13, 334, 32 CLELLAND RD, RS, VO
13, 337B, 284 MASSACHUSETTS AVE, "RT, small rear portion in RS", VO
13, 376, 211 MASSACHUSETTS AVE, CRS, VO
13, 338A, 286-292 MASSACHUSETTS AVE, RT, VO
13, 333, 36 CLELLAND RD, RS, VO
13, 375, 217 MASSACHUSETTS AVE, CRS, VO
13, 374, 229 MASSACHUSETTS AVE, CRS, VO
13, 339, 314 MASSACHUSETTS AVE, RT, VO
13, 340, 320 MASSACHUSETTS AVE, RT, VO
13, 372, 241 MASSACHUSETTS AVE, CRS, VO
13, 341, 346 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 371, 251 MASSACHUSETTS AVE, CRS, VO
13, 342, 350 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 370, 267 MASSACHUSETTS AVE, CRS, VO
13, 343, 356-358 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 344, 364 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 345, 368 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 369, 275 MASSACHUSETTS AVE, CRS, VO
13, 346, 378 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 347, 386 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 349, 390 MASSACHUSETTS AVE, "RT, rear portion in RS",VO
13, 367, 301 MASSACHUSETTS AVE, CRS, VO
13, 350, 400 MASSACHUSETTS AVE, RT, VO
13, 351, 410 MASSACHUSETTS AVE, RT, VO
13, 352, 418-420 MASSACHUSETTS AVE, RT VO
13, 353, 430 MASSACHUSETTS AVE, RT, VO
13, 360, 329 MASSACHUSETTS AVE, CRS, VO
13, 359, 337 MASSACHUSETTS AVE, CRS, VO
13, 354, 440 MASSACHUSETTS AVE, RT, VO
13, 358, 343 MASSACHUSETTS AVE, CRS, VO
13, 356A, 351 MASSACHUSETTS AVE, CRS, VO
13, 355, 371 MASSACHUSETTS AVE, CRS, VO
13, 373, 233 MASSACHUSETTS AVE, CRS, VO
13, 415A, 31 MASSACHUSETTS AVE, CRS, VO
13, 417, 7 MASSACHUSETTS AVE, CRS, VO
21, 12, 389 MASSACHUSETTS AVE, CRS, VO
21, 11, 421 MASSACHUSETTS AVE, CRS, VO
32, 13B, 429 WALTHAM ST, RS, VO
32, 14, 407 WALTHAM ST, CRS, VO
32, 83, 410 WALTHAM ST, RS, VO
32, 15, 403 WALTHAM ST, CRS, VO
32, 82, 400 WALTHAM ST, CRS, VO
32, 16, 324 MARRETT RD, CRS, VO
32, 57, 311 MARRETT RD, CN, VO
32, 55, 384 WALTHAM ST, CN, VO
32, 56, 313 MARRETT RD, CN, VO
32, 54, 11 GRAPEVINE AVE, RS, VO
32, 80+81, 396 WALTHAM ST, CRS, VO
33, 73, 13 SPRING ST, RS, VO
33, 72A, 15 SPRING ST, RS, VO
33, 74, 11 SPRING ST, RS, VO
33, 75, 9 SPRING ST, RS, VO
33, 76, 7 SPRING ST, RS, VO
33, 77, 5 SPRING ST, RS, VO
33, 78, 424 MARRETT RD, CSX, VO
33, 79, 428 MARRETT RD, CSX, VO
33, 80, 430 MARRETT RD, CSX, VO
33, 81, 436 MARRETT RD, CSX, VO
33, 82, 442 MARRETT RD, CSX, VO
33, 83, 450 MARRETT RD, RS, VO
33, 84, 452 MARRETT RD, RS, VO
33, 104A, 433 MARRETT RD, CN, VO
33, 105, 419 MARRETT RD, RS, VO
33, 103, 439 MARRETT RD, RS, VO
33, 104B, 429 MARRETT RD, CN, VO
33, 3, 342 MARRETT RD, RS, VO
33, 1, 336 MARRETT RD, RS, VO
33, 266, 329 MARRETT RD, CN, VO
33, 267, 323 MARRETT RD, CN, VO
33, 265, 335 MARRETT RD, RS, VO
33, 268, 365-367 WALTHAM ST, CN & RS, VO
5, 3, 983 WALTHAM ST, RO, VO
5, 2, 979 WALTHAM ST, RO, VO
5, 1, 959 WALTHAM ST, RO, VO
56, 6C, 39 BEDFORD ST, CRS, VO
56, 222, 33-35 BEDFORD ST, CRS, VO
57, 9D, 1989 MASSACHUSETTS AVE, RS, VO
57, 136, 59 WORTHEN RD, RS, VO
57, 132, 51 WORTHEN RD, CLO, VO
57, 4C, 32 WORTHEN RD, RS, VO
57, 131, 2 MILITIA DR, CLO, VO
57, 14F, 32 BEDFORD ST, CRS, VO
57, 133A, 4 MILITIA DR, CLO, VO
57, 14A, 46 BEDFORD ST, CRS, VO
57, 130, 1 MILITIA DR, CLO, VO
57, 134, 5 MILITIA DR, CLO, VO
57, 129, 21 WORTHEN RD, CLO, VO
57, 135, 3 MILITIA DR, CLO, VO
57, 144, 45 BEDFORD ST, CRS, VO
57, 124A, 53 BEDFORD ST, CRS, VO
57, 79, 60 BEDFORD ST, CRS, VO
57, 126, 8 CAMELLIA PL, CRS, VO
57, 80, 74-76 BEDFORD ST, CRS, VO
57, 123, 69 BEDFORD ST, RS, VO
57, 81, 80 BEDFORD ST, RS, VO
57, 145, 3-25 LOIS LN, RS, VO
57, 119, 81 BEDFORD ST, RS, VO
57, 124B, 57 BEDFORD ST, CRS, VO
64, 157, 101 BEDFORD ST, RS, VO
64, 161, 89 BEDFORD ST, RS, VO
64, 158, 95-97 BEDFORD ST, RS, VO
64, 156, 1 CAROL LN, RS, VO
64, 173, 3 CAROL LN, RS, VO
64, 162, 113 BEDFORD ST, RS, VO
64, 154, 1 REVERE ST, RS, VO
64, 65, 5 REED ST, RS, VO
64, 66, 162 BEDFORD ST, CN, VO
64, 64, 9 REED ST, RS, VO
64, 77, 159-161 BEDFORD ST, RS, VO
64, 63, 19 REED ST, RS, VO
64, 67, 172 BEDFORD ST, CN, VO
64, 74A, 183 BEDFORD ST, CN, VO
64, 73A, 185 BEDFORD ST, CN, VO
64, 72, 187 BEDFORD ST, CN, VO
64, 181, 175-181 BEDFORD ST, CLO, VO
64, 76, 171 BEDFORD ST, CLO, VO
64, 71, 193-195 BEDFORD ST, CN, VO
64, 75A, 177 BEDFORD ST, CLO, VO
64, 70, 197 BEDFORD ST, CN, VO
64, 98A, 11 LARCHMONT LN, RS, VO
71, 34, 229 BEDFORD ST, CN, VO
71, 33, 231 BEDFORD ST, CN, VO
71, 31A, 235 BEDFORD ST, CN, VO
71, 30, 237 BEDFORD ST, RS, VO
71, 61A, 242 BEDFORD ST, CS & RS, VO
13, 422, 0 BOW ST, RS, VO
13, 101, 11 CHERRY ST, RS, VO
13, 305A, 0 HILLSIDE AVE, RS, VO
13, 102, 0 CHERRY ST, RS, VO
10, 58A, 5 PIPER RD, RO, VO
10, 59A, 7 PIPER RD, RO, VO
10, 61, 344 CAMBRIDGE/CONCORD, RO, VO
9, 29, 336 CAMBRIDGE/CONCORD, RO, VO

48, 96 DEPOT SQ RS MFO
9, 11B CONCORD AVE RO VO
71, 62 BEDFORD ST RS VO
64, 159 BEDFORD ST RS VO
33, 72B SPRING ST RS VO
13, 348 CLELLAND RD RS VO
49, 183 WALTHAM ST CB MFO
49, 71 MASSACHUSETTS AVE CB MFO
13, 368 FOTTLER AVE CRS VO
49, 11 MASSACHUSETTS AVE GC MFO
49, 5A MERIAM ST GC MFO
13, 418 MASSACHUSETTS AVE CRS VO
85, 11 WESTVIEW ST CM VHO
13, 327B MAY ST RS VO
